fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation
000012b273ca93d15d5d,2,1,1800,1800,0.03125,0.1111111111111111,2,0.6658756732940674,0.026319943368434906,13.97370433807373,1.0083367824554443,49.1117057800293,1.6568493843078613,0.31296855211257935,2291
0000e7c17169b5a3feed,0,1,1800,1800,0.09090909090909091,NA,2,0.6129640638828278,0.06390707939863205,8.373950004577637,1.0854601860046387,73.1324234008789,2.8386006355285645,5.180368900299072,1577.5
0000e7c17169b5a3feed,1,4,7200,10800,0.5454545454545454,0.6,12,0.5072345857818922,0.06222285951177279,8.373950004577637,1.0854601860046387,73.1324234008789,2.8386006355285645,5.180368900299072,1590.5833333333333
0000e7c17169b5a3feed,2,2,6300,7200,0.36363636363636365,0.4,8,0.42547936365008354,0.06241476675495505,8.373950004577637,1.0854601860046387,73.1324234008789,2.8386006355285645,5.180368900299072,1579.125
0000d10ca59811fa8aa0,0,7,31500,45900,0.6144578313253012,NA,44,0.3735526794312047,0.05681296269975457,7.746598440058091,1.476361679095848,66.57972836961933,3.336722112169453,2.8879010537091423,2044.3529411764705
0000d10ca59811fa8aa0,1,5,23400,28800,0.3855421686746988,1,30,0.3212494067847729,0.033386885304935277,7.545459270477295,1.5203856229782104,67.1943359375,3.341033935546875,3.0341057777404785,2048.34375
0000273ddf99fdc9459f,0,58,54900,191700,0.07159663865546219,NA,0,0.37598957705525726,0.054925316201409266,6.482943357995978,3.0131995330953822,84.76404439003815,1.9149719180075775,3.87484979517583,786.0892018779343
0000273ddf99fdc9459f,1,115,89100,612e3,0.22857142857142856,0.24619840695148443,8,0.4142704716719249,0.04500058410990545,6.4910649061203,3.0056938038152805,84.70975763657513,1.9162258120144116,3.8654109555132248,816.6441176470588
0000273ddf99fdc9459f,2,34,454500,1345500,0.5025210084033613,0.5412744388124547,62,0.45037712653145745,0.03888602343926761,6.4905502019518595,3.006169480384393,84.71319806663487,1.9161463463186819,3.8660091432041948,856.3016722408026
0000273ddf99fdc9459f,3,34,234900,528300,0.1973109243697479,0.21252715423606083,87,0.5108649358534122,0.03432299978110869,6.484431689195779,3.0118240550591957,84.75409595807935,1.9152017029627422,3.8731200609743293,891.5587734241908
00007fa74b5201e1fdad,0,19,18e3,55800,0.1451990632318501,NA,1,0.3016875893358261,0.033542804630293,12.977046012878418,1.7877802848815918,43.5120735168457,4.307738780975342,6.223134517669678,1728.3225806451612
00007fa74b5201e1fdad,1,25,14400,82800,0.2154566744730679,0.25205479452054796,17,0.31387344245677407,0.032505821051966886,12.977046012878418,1.7877802848815918,43.5120735168457,4.307738780975342,6.223134517669678,1732.695652173913
00007fa74b5201e1fdad,2,11,171900,198e3,0.5152224824355972,0.6027397260273972,17,0.3391481221399524,0.032229227043518965,12.977046012878418,1.7877802848815918,43.5120735168457,4.307738780975342,6.223134517669678,1739.2181818181818
00007fa74b5201e1fdad,3,3,35100,47700,0.12412177985948478,0.14520547945205478,17,0.46558812710474123,0.05493995603525414,12.977046012878418,1.7877802848815918,43.5120735168457,4.307738780975342,6.223134517669678,1749.5094339622642
00009da37f52df484997,0,217,603900,2952900,0.18375805096611594,NA,100,0.19987213924068462,0.020849623128372116,7.4501393036811825,3.0001921271522103,78.29245013952328,3.1705257114351104,7.48419100741939,1166.434014020116
00009da37f52df484997,1,471,1138500,3438900,0.2140016802016242,0.26217922327432414,11,0.21051618196723412,0.022484145195361592,7.447018337699014,2.977111721063777,78.32310845845035,3.162936538715258,7.389801153179489,1214.939021198639
00009da37f52df484997,2,169,7552800,8210700,0.5109493139176701,0.6259777686290655,13,0.2695862060247591,0.0312568655039102,7.3534080840301765,2.785167716671393,79.08770364169474,3.0822965708607892,6.613036672940684,1409.320179765428
00009da37f52df484997,3,182,315e3,1467e3,0.09129095491458974,0.11184300809661041,0,0.3868234439038791,0.040813774032164025,7.323155792505463,2.7113182350170395,79.34131599847524,3.0519750393241463,6.317542092785513,1564.3644171779142
0000448ab75a5d356415,0,32,26100,83700,0.06950672645739911,NA,38,0.5661532891693936,0.058098404147532035,5.561222307143673,2.5908872389024302,86.15662301996703,4.092614481526036,10.571132639402984,931.0322580645161
0000448ab75a5d356415,1,55,18900,135900,0.11285500747384156,0.121285140562249,58,0.6072736062750911,0.051426015538317674,5.561483215812026,2.5940159393462126,86.16383983283643,4.092550069291071,10.587266113584406,896.3046357615895
