fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,burn_duration,sdc
00000ca7db4855fd8365,3,8,258300,279e3,0.25,0.36257309941520466,269,0.5529050958733405,0.04685665802249024,4.9873881340026855,2.2685580253601074,87.489410400390625,2.7821218967437744,4.90718936920166,1600.374193548387,1,CA,USF,SNF,NEHOUSE,00000000,9,NA,204,254.417938232422,8,suppression,00000070,102.959286278496,0,1134,2004,9,11,2004,9,15,4,0.014800961333619812
00005e9fce364df1807f,3,23,48600,174600,0.030926191614857323,0.04823470909995027,0,0.6161854029009023,0.038662447114043014,4.029029226794686,3.194963968906206,92.78226140602348,2.5293376421191027,4.284536155228762,759.0618556701031,1,CA,CDF,MMU,OLD HWY/MPUD 149,00017290,7,NA,1347,1334.79089355469,7,suppression,00000359,540.170722941746,0,47,2004,9,12,2004,9,15,3,0.026831026003089207
00009f4f48c915b2b9de,3,35,1100700,1323e3,0.4280722189866045,0.47572815533980584,65,0.6002899591209127,0.0509341876554702,4.532639980316162,2.8160154819488525,91.03369903564453,2.574336051940918,5.838259220123291,974.4993197278911,1,CA,USF,STF,TUOLUMNE,NA,9,20090305,800,721.459777832031,2,suppression,00000066,291.964425452219,0,393,2004,9,12,2004,9,17,5,0.010063349561400186
0000cbb144a3918a1b93,3,6,62100,116100,0.258,0.32575757575757575,129,0.666442636371583,0.08444806758689788,5.173908056214798,2.2626594554546267,89.17125222849292,5.489099801972855,1.8728109709052152,1713.4186046511627,1,CA,USF,STF,LITTLE,NA,2,20090305,96,95.8085021972656,2,suppression,00000068,38.7723255126001,0,480,2004,9,17,2004,9,18,1,0.02141425779089623
000055c6b6ed66d43b17,3,625,16774200,27328500,0.3914377425135034,0.44396520213465895,27217,0.7102811832022042,0.04070040594207339,7.810581978851776,1.6960664430678274,77.89024316193185,3.0598263966199024,3.1828058205580527,1557.7903507327514,1,CA,USF,ENF,POWER,00000000,2,NA,16823,16983.0703125,2,suppression,00000109,6872.80489906564,0,79439,2004,10,6,2004,10,21,15,0.007404270845869139
0000f0188d9481eeb551,3,197,16096500,17298900,0.5546545853292549,0.5907246911303706,18469,0.6819039556475411,0.04348373154674327,7.181799082023955,1.3640079053233078,80.604100536118,2.2029816613138533,3.7806203870791673,1763.9072368763332,1,CA,USF,ENF,FREDS,00000000,2,NA,7700,7557.607421875,2,suppression,00000111,3058.4552445642,0,40592,2004,10,13,2004,10,17,4,0.005374414219534197
00008e9dfe6a497f6c34,3,89,351900,1120500,0.13706925024771552,0.19444010620021865,720,0.6122985221056574,0.0677475583863007,6.9770489662047845,1.404705827973454,81.49843634180276,4.344788159136791,1.5760241424223504,1871.8128514056225,1,CA,NPS,YNP,HETCHY,00004243,7,NA,1936.10255399697,1936.1103515625,4,suppression,00004243,783.516042029246,0,6027,2004,10,15,2004,10,18,3,0.02134156304212556
0000c588ccaa7645fdd0,3,1,900,900,0.0019646365422396855,0.0047169811320754715,0,0.07043816149234772,0.026806477457284927,5.309805870056152,1.5460987091064453,84.23760986328125,2.4845333099365234,3.2223172187805176,2927,1,CA,NPS,YNP,CRYSTAL WFU,00002810,1,NA,104.74,104.709648132324,2,wfu,00002810,42.37448997289,0,8,2005,7,21,2005,9,27,68,0.07721345479985418
00007ef22a161919873b,3,1,1800,1800,0.0030349013657056147,0.007042253521126761,2,0.45882000029087067,0.05800782889127731,5.6491241455078125,1.550891399383545,81.42761993408203,2.399059534072876,2.8263330459594727,2676.5,1,CA,NPS,YNP,ECHO WFU,00002737,1,NA,133.2,133.16178894043,2,wfu,00002737,53.8886610198542,0,196,2005,7,21,2005,9,27,68,0.05588794903232836
0000359e0b4a41702baa,3,2,9900,10800,0.03715170278637771,0.05504587155963303,0,0.33462951829036075,0.04280486640830835,4.810160160064697,2.573272228240967,90.85633087158203,3.6982812881469727,6.2334089279174805,2822.75,1,CA,USF,INF,PORTAL,00000000,1,NA,62.58,62.614143371582,2,suppression,00000025,25.3390442775725,0,38,2005,7,21,2005,7,23,2,0.03457465723375121
000008fb936f4f6ae158,3,412,821700,7757100,0.19236692333444927,0.2262858043004542,4393,0.599772502975185,0.03734430243598397,5.856241457616388,1.9347011479386487,81.52120594680136,1.6877906072276667,2.2749917717402655,2203.737556561086,1,CA,NPS,KNP,COMB,00000015,1,NA,9753.94,9756.466796875,2,wfu,00000015,3948.3018467133,0,37540,2005,7,22,2005,12,1,132,0.014751945923748306
000026269daa6957f024,3,18,239400,341100,0.12135766890810118,0.15245374094931616,220,0.5167751568603013,0.06406508188566935,5.207160723240834,2.3390338364251373,87.33235009427436,2.312098369749366,3.2244075602780544,2449.7757255936676,1,CA,USF,INF,HOGBACK,00000000,1,NA,743,655.029113769531,2,suppression,00000031,265.080872375766,0,2161,2005,7,22,2005,8,5,14,0.014130704721796132
0000a3955ee87d8be883,3,33,18e3,121500,0.023384721981638663,0.03740648379052369,10,0.4549776878621843,0.04099454477567364,6.26387904131854,1.3151775519053142,79.51593384919343,2.2145589492939135,2.954776970545451,2631.1481481481483,1,CA,USF,SQF,CRAG,00000000,1,NA,1185,1185.20141601562,1,suppression,00000031,479.633972260481,0,3061,2005,7,24,2005,10,15,83,0.04163479761318428
0000741ba0419098843f,3,6,3600,11700,0.009658246656760773,0.014857142857142857,0,0.5980392052577093,0.04294023118340052,6.662294387817383,1.7973473072052002,80.81047821044922,2.435032367706299,2.353705883026123,2407.3846153846152,1,CA,USF,SNF,CORRAL WFU,00000000,1,NA,274,256.345306396484,1,wfu,00000028,103.739260822984,0,6,2005,8,14,NA,NA,NA,NA,0.060482390717606166
00009743971c9d5f70c2,3,52,1255500,3578400,0.37776722090261283,0.3967272001596488,3678,0.5407823066956081,0.05124266159166048,7.342688955171727,2.065142002833681,78.07244526308547,2.8835908943858426,4.892551632234508,1764.107142857143,1,CA,USF,TNF,HARDING,00000000,9,NA,2270,2265.66552734375,2,suppression,00000038,916.882333765981,0,10191,2005,8,24,2005,8,27,3,0.009794543950424745
000026f3f03e2e254122,3,4,15300,28800,0.07655502392344497,0.1285140562248996,32,0.719965985044837,0.03694987599737942,6.607256889343262,2.227982759475708,80.94194030761719,2.4666130542755127,4.724149227142334,1512.21875,1,CA,NPS,YNP,BACKDOOR,00003715,14,NA,81.33,81.2731475830078,1,suppression,00003715,32.8900747402181,0,460,2005,8,25,2005,8,26,1,0.034694898047626564
0000c7098b3fee717df9,3,1,27e3,27e3,0.21897810218978103,0.297029702970297,5,0.5818968345721562,0.05282951717575391,8.177023887634277,1.420558214187622,76.44121551513672,1.6449493169784546,2.424049139022827,843.0666666666667,1,CA,CDF,AEU,SERENITY,00014757,7,NA,28,23.8159675598145,8,suppression,00000418,9.63798004448134,0,22,2005,9,16,2005,9,16,0,0.018227794946376778
0000167ae8cc5df43da6,3,3,41400,54900,0.14769975786924938,0.3112244897959184,53,0.6720971748477123,0.0304676477995808,9.78555679321289,1.4715440273284912,71.003814697265625,2.0273799896240234,4.6145477294921875,1036.2459016393443,1,CA,CDF,MMU,CONVERSE,00017854,14,NA,79,78.2512130737305,7,suppression,00000340,31.6671415537128,0,235,2005,9,17,2005,9,17,0,0.022755581552774032
0000a1d00602d20a39b5,3,3,14400,29700,0.1907514450867052,0.2558139534883721,32,0.6858262654506799,0.06440291469070045,8.042061805725098,1.6642184257507324,72.70551300048828,6.1157097816467285,7.326442241668701,1342.2727272727273,1,CA,USF,PNF,BELL,00000000,6,NA,35,30.9930458068848,1,suppression,00000059,12.5424404493478,0,155,2005,9,22,2005,9,22,0,0.033205831184772924
0000b1647338460168ae,3,16,58500,108900,0.05238095238095238,0.06644700713893466,47,0.6195376466128452,0.05872560272470486,8.379944801330566,0.9221651554107666,55.093326568603516,2.894831657409668,4.665368556976318,2260.2314049586776,1,CA,NPS,YNP,LAUEREL WFU,00004277,1,NA,477.5,477.191040039062,2,wfu,00004277,193.112360567055,0,1821,2005,9,26,2005,11,4,39,0.026859853918462774
000047e8241cf3916d8f,3,31,93600,224100,0.050201612903225806,0.061481481481481484,95,0.6546257354887614,0.04137374098640848,8.022197780838932,1.1544488266289952,56.83108292238779,2.785112222035726,5.036269735619725,1941.3293172690762,1,CA,NPS,YNP,WAPAMA WFU,00004276,1,NA,1058.02,1057.31945800781,2,wfu,00004276,427.882023607293,0,5335,2005,9,26,2005,11,4,39,0.025041552859815637
00008d83f04bd952c7ed,3,11,23400,54e3,0.22641509433962265,0.24489795918367346,23,0.5514952351649602,0.08239302250246207,8.839388847351074,0.9829015135765076,71.23204803466797,3.6754541397094727,6.212185859680176,2001.8333333333333,1,CA,USF,STF,HIGHLAND,NA,1,20090305,45,43.2139930725098,1,wfu,00000050,17.4880823228312,0,73,2005,9,27,2005,6,11,-108,0.03640216533324681
000079e968b5db414d0a,3,2,14400,15300,0.22666666666666666,0.34,15,0.7198332442956812,0.0775840962305665,9.18875789642334,2.489806652069092,72.93009185791016,3.940540313720703,3.1579835414886475,936.8235294117648,1,CA,CDF,AEU,BRADEN,00015649,1,NA,15,13.2954130172729,8,suppression,00000469,5.38046269557374,0,48,2005,9,30,2005,9,30,0,0.025054403640927106
0000e3abff6df61edc67,3,1,2700,2700,0.001687289088863892,0.002136752136752137,0,0.5517601271470388,0.04428807025154432,11.66640567779541,0.42639338970184326,60.80094528198242,2.4304237365722656,0.8950667977333069,2068.3333333333335,1,CA,NPS,KNP,KERN,00000096,1,NA,346,361.387054443359,1,wfu,00000096,146.248150305724,0,1697,2005,10,27,2005,12,3,37,0.05187183552610678
000035e696c63af7cd88,3,1,3600,3600,0.016597510373443983,0.02857142857142857,4,0.4849862903356552,0.02891415450721979,5.49083948135376,2.2147486209869385,74.47235107421875,3.001497983932495,6.6887688636779785,1914,1,CA,USF,PNF,BOULDER COMPLEX,00000371,1,"Indian, Sage, Hungry, and Boulder Perimiters are separate records",3500,33.888011932373,1,suppression,00000033,13.7139923397503,0,192,2006,6,25,2006,7,12,17,0.03725461839273539
0000aab2140c4fd917a9,3,19,241200,444600,0.19919354838709677,0.21534437663469921,494,0.649559067207792,0.028662922056882006,5.698884963989258,2.325468063354492,72.14106750488281,3.0524919033050537,6.882822036743164,1806.8846153846155,1,CA,USF,PNF,HUNGRY,00000371,1,Part of Boulder Complex,512,512.325866699219,1,suppression,00000034,207.330922829776,0,3027,2006,6,25,2006,7,12,17,0.013400221058836741
0000383980e659f0ea34,3,99,619200,2288700,0.18679300719847217,0.20314746764658892,2498,0.49558025776660214,0.04245696847323025,5.5205228123381715,2.298855884404244,74.41405204445932,3.0295105099537407,6.920350057517174,1670.988596146284,1,CA,USF,PNF,BOULDER,00000371,1,Part of Boulder Complex,2920,2919.26245117188,1,suppression,00000033,1181.38359585576,0,16914,2006,6,25,2006,7,12,17,0.016911030945602513
0000959b0e757edc61c9,3,2,4500,6300,0.07142857142857142,0.1044776119402985,7,0.6402109861373901,0.06292230689099856,5.721624851226807,2.273632764816284,71.89286804199219,3.006160259246826,6.793907642364502,1666.7142857142858,1,CA,USF,PNF,INDIAN,00000371,1,Part of Boulder Complex,16.3,16.3159656524658,1,suppression,00000035,6.60283693983954,0,98,2006,6,25,2006,6,30,5,0.04256891489111163
