fod_id,alarm_date,cont_date,fire_size,prop_ypmc,elev,earlyFfm100,fm100,hdw,vs,vpd,RBR,preFire_ndvi,het_ndvi_1,focal_mean_ndvi_1,burn_duration
1359747,2002-09-23,NA,0.1,1,795,5.319029808044434,7.5955281257629395,6.670083999633789,2.0444040298461914,3.0063130855560303,-0.0039027048662973636,0.7825724482536316,0.017107138542633783,0.775917649269104,NA
201755021,2012-10-29,2012-10-29,2.6,1,800,12.637205123901367,16.377046585083008,3.6359755992889404,3.412231922149658,1.092452883720398,0.03272776301115857,0.7679201364517212,0.04575829845332713,0.7422180771827698,0
319940,2007-08-21,2007-08-21,0.1,1,775,6.827105522155762,5.921438694000244,6.639843463897705,2.355060577392578,2.1284339427948,-0.00723227484966717,0.8074549436569214,0.00958191283956223,0.7989435195922852,0
316080,2001-07-04,2001-07-04,0.1,1,871,6.842533111572266,8.193265914916992,11.032735824584961,4.314633369445801,2.956700563430786,-0.05455925146528704,0.5962891578674316,0.060751419969597424,0.6171908378601074,0
1360703,1997-06-10,NA,0.1,1,866,11.975648880004883,11.950736999511719,3.268000364303589,3.160651683807373,1.3393019437789917,0.026595280912781377,0.743049144744873,0.04086276511383276,0.7521548271179199,NA
300308469,2015-10-22,NA,0.1,1,836,8.811147689819336,14.445570945739746,3.557559013366699,2.304429769515991,1.2131577730178833,-0.022770627127816374,0.8284578323364258,0.02267000322252758,0.8221241235733032,NA
144313,2001-06-01,2001-06-01,0.1,1,775,7.325802803039551,7.4274420738220215,5.757495403289795,4.476983070373535,2.585296154022217,-0.01771434605717381,0.7782389521598816,0.01358231466458814,0.7766847610473633,0
1359258,2008-12-10,NA,1,0.833333333333333,734,9.378498077392578,8.99870491027832,1.3964911699295044,1.9226844310760498,0.8552957773208618,0.0034745046023345336,0.6978480219841003,0.04899609861993961,0.6919701099395752,NA
217674,1998-08-19,1998-08-20,0.3,1,757,13.840108871459961,11.072004318237305,3.135448455810547,2.311890125274658,1.2474937438964844,0.005056293517627088,0.5171152353286743,0.05158750982068702,0.5175057649612427,1
218139,1999-06-05,1999-06-05,1,1,757,14.880411148071289,15.499063491821289,2.3725316524505615,2.5142383575439453,0.46224701404571533,0.008023073420984746,0.4857601225376129,0.05181016912630479,0.5026165843009949,0
317391,2003-09-14,2003-09-14,0.3,1,757,7.577158451080322,9.511545181274414,7.515160083770752,4.18840217590332,2.343447685241699,0.024724833668839322,0.5729063749313354,0.045932697222602285,0.5673844814300537,0
1359313,1992-08-02,NA,0.1,1,760,5.645362377166748,6.399407863616943,9.021549224853516,3.3983497619628906,2.5288519859313965,-0.008978708712720555,0.3553781509399414,0.10889571409444573,0.4608460068702698,NA
1362334,1994-08-18,NA,2,1,760,5.720094203948975,5.327234745025635,9.28810977935791,3.4522464275360107,3.391463041305542,-0.06674872933111085,0.3888842761516571,0.09449512919163797,0.47166135907173157,NA
